d,defect_length,seed,detection_time,alpha_min_reached,recovery_time,sentinel_payoff,tft_payoff
50,50,0,1,0.050000,78,3087.7595,3051.0000
50,100,0,1,0.050000,98,3136.4009,3101.0000
50,200,0,1,0.050000,103,3233.0169,3201.0000
50,500,0,1,0.050000,103,3524.0183,3501.0000
50,10,1,1,0.050000,33,3030.1978,3011.0000
50,50,1,1,0.050000,44,3068.3196,3051.0000
50,100,1,1,0.050000,61,3116.3723,3101.0000
50,200,1,1,0.050000,68,3213.1985,3201.0000
50,500,1,1,0.050000,69,3503.8759,3501.0000
50,10,2,1,0.050000,33,3023.0576,3011.0000
50,50,2,1,0.050000,43,3061.4159,3051.0000
50,100,2,1,0.050000,58,3109.2802,3101.0000
50,200,2,1,0.050000,64,3205.8651,3201.0000
50,500,2,1,0.050000,66,3494.5652,3501.0000
50,10,3,1,0.050000,33,3023.7929,3011.0000
50,50,3,1,0.050000,45,3062.2585,3051.0000
50,100,3,1,0.050000,62,3110.1358,3101.0000
50,200,3,1,0.050000,69,3206.8757,3201.0000
50,500,3,1,0.050000,69,3497.2016,3501.0000
50,10,4,1,0.050000,34,3047.3238,3011.0000
50,50,4,1,0.050000,48,3085.4198,3051.0000
50,100,4,1,0.050000,68,3133.4367,3101.0000
50,200,4,1,0.050000,74,3230.3157,3201.0000
50,500,4,1,0.050000,76,3520.9395,3501.0000
50,10,5,1,0.050000,34,3040.8687,3011.0000
50,50,5,1,0.050000,68,3078.5134,3051.0000
50,100,5,1,0.050000,84,3127.0557,3101.0000
50,200,5,1,0.050000,90,3224.7903,3201.0000
50,500,5,1,0.050000,91,3517.3660,3501.0000
50,10,6,1,0.050000,33,3024.1752,3011.0000
50,50,6,1,0.050000,35,3062.7045,3051.0000
50,100,6,1,0.050000,46,3110.3905,3101.0000
50,200,6,1,0.050000,50,3206.1406,3201.0000
50,500,6,1,0.050000,53,3493.9138,3501.0000
50,10,7,1,0.050000,33,3033.8155,3011.0000
50,50,7,1,0.050000,43,3072.7702,3051.0000
50,100,7,1,0.050000,58,3120.6950,3101.0000
50,200,7,1,0.050000,65,3217.0085,3201.0000
50,500,7,1,0.050000,66,3506.9877,3501.0000
50,10,8,1,0.050000,33,3019.6622,3011.0000
50,50,8,1,0.050000,37,3058.1016,3051.0000
50,100,8,1,0.050000,51,3105.8731,3101.0000
50,200,8,1,0.050000,60,3201.8732,3201.0000
50,500,8,1,0.050000,58,3489.9083,3501.0000
50,10,9,1,0.050000,33,3039.1713,3011.0000
50,50,9,1,0.050000,33,3078.0842,3051.0000
50,100,9,1,0.050000,36,3126.1009,3101.0000
50,200,9,1,0.050000,40,3220.8846,3201.0000
50,500,9,1,0.050000,40,3509.3610,3501.0000
50,10,10,1,0.050000,33,3024.5885,3011.0000
50,50,10,1,0.050000,33,3062.7753,3051.0000
50,100,10,1,0.050000,37,3110.2757,3101.0000
50,200,10,1,0.050000,43,3206.3944,3201.0000
50,500,10,1,0.050000,42,3493.0052,3501.0000
50,10,11,1,0.050000,34,3043.2923,3011.0000
50,50,11,1,0.050000,34,3081.7997,3051.0000
50,100,11,1,0.050000,43,3129.5579,3101.0000
50,200,11,1,0.050000,48,3225.2565,3201.0000
50,500,11,1,0.050000,48,3513.4116,3501.0000
50,10,12,1,0.050000,34,3094.6554,3011.0000
50,50,12,1,0.050000,50,3131.9751,3051.0000
50,100,12,1,0.050000,61,3180.2813,3101.0000
50,200,12,1,0.050000,67,3274.3600,3201.0000
50,500,12,1,0.050000,67,3566.1286,3501.0000
50,10,13,1,0.050000,33,3043.4584,3011.0000
50,50,13,1,0.050000,43,3081.4091,3051.0000
50,100,13,1,0.050000,59,3129.5771,3101.0000
50,200,13,1,0.050000,68,3225.9897,3201.0000
50,500,13,1,0.050000,66,3516.3915,3501.0000
50,10,14,1,0.050000,33,3037.3073,3011.0000
50,50,14,1,0.050000,33,3075.2503,3051.0000
50,100,14,1,0.050000,34,3123.4193,3101.0000
50,200,14,1,0.050000,35,3219.4620,3201.0000
50,500,14,1,0.050000,36,3505.9776,3501.0000
50,10,15,1,0.050000,34,3057.6619,3011.0000
50,50,15,1,0.050000,43,3095.9643,3051.0000
50,100,15,1,0.050000,58,3143.4586,3101.0000
50,200,15,1,0.050000,67,3239.3473,3201.0000
50,500,15,1,0.050000,65,3529.6078,3501.0000
50,10,16,1,0.050000,34,3075.2046,3011.0000
50,50,16,1,0.050000,50,3113.7565,3051.0000
50,100,16,1,0.050000,65,3159.9494,3101.0000
50,200,16,1,0.050000,73,3256.9837,3201.0000
50,500,16,1,0.050000,76,3547.8540,3501.0000
50,10,17,1,0.050000,34,3048.7409,3011.0000
50,50,17,1,0.050000,43,3087.0353,3051.0000
50,100,17,1,0.050000,53,3134.5543,3101.0000
50,200,17,1,0.050000,61,3231.2505,3201.0000
50,500,17,1,0.050000,63,3520.3840,3501.0000
50,10,18,1,0.050000,33,3021.0682,3011.0000
50,50,18,1,0.050000,36,3059.5967,3051.0000
50,100,18,1,0.050000,50,3107.6119,3101.0000
50,200,18,1,0.050000,58,3203.7090,3201.0000
50,500,18,1,0.050000,57,3491.7051,3501.0000
50,10,19,1,0.050000,36,3178.7309,3011.0000
50,50,19,1,0.050000,67,3215.3783,3051.0000
50,100,19,1,0.050000,82,3263.4665,3101.0000
50,200,19,1,0.050000,87,3357.8026,3201.0000
50,500,19,1,0.050000,92,3647.3626,3501.0000
75,10,0,1,0.050000,33,3047.6231,3011.0000
75,50,0,1,0.050000,39,3086.2274,3051.0000
75,100,0,1,0.050000,51,3133.5774,3101.0000
75,200,0,1,0.050000,61,3229.7901,3201.0000
75,500,0,1,0.050000,61,3518.8595,3501.0000
75,10,1,1,0.050000,34,3068.9945,3011.0000
75,50,1,1,0.050000,41,3107.1522,3051.0000
75,100,1,1,0.050000,53,3154.3853,3101.0000
