mode,alpha,seed,H,kl_noisy,mean_body_out,rho_current,action_var
coupled,0.0,4,255,1.582554,0.977146,0.9900,0.08407956
coupled,0.0,4,270,1.371778,0.977828,0.9900,0.08407956
coupled,0.0,4,285,1.512877,0.977596,0.9900,0.08407956
coupled,0.0,4,300,1.431451,0.977532,0.9900,0.08407956
coupled,0.5,4,0,1.869450,0.903156,0.9919,0.02722025
coupled,0.5,4,15,0.763242,0.987904,0.9900,0.02111367
coupled,0.5,4,30,0.532142,0.984971,0.9900,0.02116931
coupled,0.5,4,45,0.692715,0.982798,0.9900,0.02124353
coupled,0.5,4,60,0.496378,0.981379,0.9900,0.02122630
coupled,0.5,4,75,0.589399,0.980796,0.9900,0.02121286
coupled,0.5,4,90,0.387140,0.981115,0.9900,0.02123079
coupled,0.5,4,105,0.375054,0.981015,0.9900,0.02124211
coupled,0.5,4,120,0.520068,0.981088,0.9900,0.02128494
coupled,0.5,4,135,0.217634,0.981154,0.9900,0.02119913
coupled,0.5,4,150,0.357216,0.981099,0.9900,0.02124903
coupled,0.5,4,165,0.277394,0.981276,0.9900,0.02127162
coupled,0.5,4,180,0.187649,0.981285,0.9900,0.02121239
coupled,0.5,4,195,0.240721,0.981406,0.9900,0.02122008
coupled,0.5,4,210,0.515813,0.981123,0.9900,0.02122063
coupled,0.5,4,225,0.264426,0.981106,0.9900,0.02124438
coupled,0.5,4,240,0.286691,0.981095,0.9900,0.02127411
coupled,0.5,4,255,0.439940,0.981026,0.9900,0.02126836
coupled,0.5,4,270,0.230084,0.981439,0.9900,0.02122435
coupled,0.5,4,285,0.403622,0.981269,0.9900,0.02126786
coupled,0.5,4,300,0.303118,0.981223,0.9900,0.02123801
coupled,1.0,4,0,1.052034,0.918631,0.9919,0.00174449
coupled,1.0,4,15,0.628772,0.988866,0.9900,0.00001163
coupled,1.0,4,30,0.439615,0.986085,0.9900,0.00001774
coupled,1.0,4,45,0.617074,0.983971,0.9900,0.00002372
coupled,1.0,4,60,0.410150,0.982696,0.9900,0.00002876
coupled,1.0,4,75,0.496637,0.982067,0.9900,0.00002923
coupled,1.0,4,90,0.268306,0.982296,0.9900,0.00002835
coupled,1.0,4,105,0.267399,0.982234,0.9900,0.00003034
coupled,1.0,4,120,0.403189,0.982303,0.9900,0.00002675
coupled,1.0,4,135,0.105599,0.982314,0.9900,0.00002795
coupled,1.0,4,150,0.240869,0.982241,0.9900,0.00002849
coupled,1.0,4,165,0.162168,0.982452,0.9900,0.00002998
coupled,1.0,4,180,0.103961,0.982367,0.9900,0.00002725
coupled,1.0,4,195,0.130965,0.982517,0.9900,0.00002628
coupled,1.0,4,210,0.398088,0.982279,0.9900,0.00002907
coupled,1.0,4,225,0.130916,0.982280,0.9900,0.00002660
coupled,1.0,4,240,0.194083,0.982204,0.9900,0.00002949
coupled,1.0,4,255,0.248525,0.982188,0.9900,0.00003234
coupled,1.0,4,270,0.122729,0.982501,0.9900,0.00002747
coupled,1.0,4,285,0.275731,0.982349,0.9900,0.00002866
coupled,1.0,4,300,0.176039,0.982299,0.9900,0.00002981
coupled,-1.0,4,0,2.476230,0.891843,0.9919,0.05436873
coupled,-1.0,4,15,1.015010,0.986729,0.9900,0.03680397
coupled,-1.0,4,30,0.770631,0.983998,0.9900,0.03640753
coupled,-1.0,4,45,0.924584,0.981778,0.9900,0.03608363
coupled,-1.0,4,60,0.730596,0.980222,0.9900,0.03625708
coupled,-1.0,4,75,0.829615,0.979787,0.9900,0.03561478
coupled,-1.0,4,90,0.653200,0.980055,0.9900,0.03565297
coupled,-1.0,4,105,0.639612,0.979889,0.9900,0.03559759
coupled,-1.0,4,120,0.783268,0.979976,0.9900,0.03534428
coupled,-1.0,4,135,0.464203,0.980128,0.9900,0.03530295
coupled,-1.0,4,150,0.608658,0.980103,0.9900,0.03521227
coupled,-1.0,4,165,0.517917,0.980244,0.9900,0.03517493
coupled,-1.0,4,180,0.444607,0.980342,0.9900,0.03480593
coupled,-1.0,4,195,0.491846,0.980400,0.9900,0.03481371
coupled,-1.0,4,210,0.770848,0.980110,0.9900,0.03497468
